release_month,release_year,country,language,production_co,runtime,budget,gross_usa,director,rating,star_0,star_1,star_2,star_3,writer_0,writer_1,writer_2,review_count,title,open_week,cumulative,Adventure,Animation,Biography,Comedy,Drama,Horror,Action,Crime,Family,Musical,Mystery,Romance,Fantasy,History,Sci-Fi,Thriller,Music,War
March,2016,USA,English, Warner Bros.,151.0,250000000.0,330360194.0,Zack Snyder,65.0,Ben Affleck,Henry Cavill,Amy Adams,,Chris Terrio,David S. Goyer,,591413.0,Batman v Superman: Dawn of Justice,166007347272016.0,873634919.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
February,2016,USA,English, Pyramania,127.0,140000000.0,31153464.0,Alex Proyas,54.0,Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler,,Matt Sazama,Burk Sharpless,,98286.0,Gods of Egypt,14123903282016.0,150680864.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
June,2016,UK,English, Metro-Goldwyn-Mayer (MGM),106.0,20000000.0,56245075.0,Thea Sharrock,74.0,Emilia Clarke,Sam Claflin,Janet McTeer,,Jojo Moyes,Jojo Moyes,,184930.0,Me Before You,1872326952016.0,208314186.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
November,2016,Australia,English, Cross Creek Pictures,139.0,40000000.0,67209615.0,Mel Gibson,81.0,Andrew Garfield,Sam Worthington,Luke Bracey,,Robert Schenkkan,Andrew Knight,,386225.0,Hacksaw Ridge,1519075862016.0,175302354.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
August,2016,USA,English, Atlas Entertainment,123.0,175000000.0,325100054.0,David Ayer,60.0,Will Smith,Jared Leto,Margot Robbie,,David Ayer,,,555709.0,Suicide Squad,13368224872016.0,746846894.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
September,2017,UK,English, Twentieth Century Fox,141.0,104000000.0,100234838.0,Matthew Vaughn,67.0,Taron Egerton,Colin Firth,Mark Strong,,Jane Goldman,Matthew Vaughn,,244315.0,Kingsman: The Golden Circle,39023010242017.0,410902662.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
December,2017,USA,English, Chernin Entertainment,105.0,84000000.0,174340174.0,Michael Gracey,76.0,Hugh Jackman,Michelle Williams,Zac Efron,,Jenny Bicks,Bill Condon,,209713.0,The Greatest Showman,8805843242017.0,434993183.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
November,2017,USA,English, Warner Bros.,120.0,300000000.0,229024295.0,Zack Snyder,64.0,Ben Affleck,Gal Gadot,Jason Momoa,,Jerry Siegel,Joe Shuster,,347561.0,Justice League,93842239192017.0,657924295.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
September,2017,USA,English, New Line Cinema,135.0,35000000.0,327481748.0,Andy Muschietti,73.0,Bill Skarsgård,Jaeden Martell,Finn Wolfhard,,Chase Palmer,Cary Joji Fukunaga,,411748.0,It,123403419102017.0,700449318.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
September,2018,USA,English, Atomic Monster,96.0,22000000.0,117450119.0,Corin Hardy,53.0,Demián Bichir,Taissa Farmiga,Jonas Bloquet,,Gary Dauberman,James Wan,,102287.0,The Nun,5380737992018.0,365550119.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
May,2018,UK,English, Komixx Entertainment,105.0,75000000.0,120634935.0,Vince Marcello,61.0,Joey King,Jacob Elordi,Joel Courtney,,Vince Marcello,Beth Reekles,,49274.0,The Kissing Booth,34952180222018.0,1415590.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
September,2019,Canada,English, Arcola Entertainment,98.0,200000000.0,608581744.0,David Raymond,58.0,Henry Cavill,Ben Kingsley,Alexandra Daddario,,David Raymond,,,6474.0,Night Hunter,182687905172018.0,395044706.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
July,2018,UK,English, Universal Pictures,114.0,70000000.0,140218711.0,Ol Parker,67.0,Lily James,Amanda Seyfried,Meryl Streep,,Ol Parker,Richard Curtis,,66598.0,Mamma Mia! Here We Go Again,41607378102018.0,1242805359.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
June,2018,USA,English, Walt Disney Pictures,118.0,94000000.0,58250803.0,Brad Bird,77.0,Craig T. Nelson,Holly Hunter,Sarah Vowell,,Brad Bird,,,220587.0,Incredibles 2,23633317182018.0,297718711.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
June,2018,USA,English, Warner Bros.,110.0,37000000.0,69179066.0,Gary Ross,62.0,Sandra Bullock,Cate Blanchett,Anne Hathaway,,Gary Ross,Olivia Milch,,156976.0,Ocean's 8,17005332252018.0,274650803.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
March,2018,UK,English, Metro-Goldwyn-Mayer (MGM),119.0,175000000.0,137690172.0,Roar Uthaug,63.0,Alicia Vikander,Dominic West,Walton Goggins,,Geneva Robertson-Dworet,Alastair Siddons,,173173.0,Tomb Raider,4176405012018.0,117679066.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
February,2018,USA,English, Access Entertainment,100.0,30000000.0,174532921.0,John Francis Daley,69.0,Jason Bateman,Rachel McAdams,Kyle Chandler,,Mark Perez,,,176253.0,Game Night,26510140192018.0,582890172.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
March,2018,USA,English, Warner Bros.,140.0,23000000.0,85080171.0,Steven Spielberg,75.0,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,,Zak Penn,Ernest Cline,,321869.0,Ready Player One,320429182018.0,238532921.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
August,2018,USA,English, Warner Bros.,120.0,110000000.0,324591735.0,Jon M. Chu,69.0,Constance Wu,Henry Golding,Michelle Yeoh,,Peter Chiarelli,Adele Lim,,113694.0,Crazy Rich Asians,125507153202018.0,321752656.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
November,2018,USA,English, Participant,130.0,321000000.0,678815482.0,Peter Farrelly,82.0,Viggo Mortensen,Mahershala Ali,Linda Cardellini,,Nick Vallelonga,Brian Hayes Currie,,265587.0,Green Book,257698183292018.0,785046920.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
May,2018,USA,English, Twentieth Century Fox,119.0,75000000.0,270620950.0,David Leitch,77.0,Ryan Reynolds,Josh Brolin,Morena Baccarin,,Rhett Reese,Paul Wernick,,427116.0,Deadpool 2,67572855112018.0,2048359754.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
April,2018,USA,English, Marvel Studios,149.0,165000000.0,188020017.0,Anthony Russo,85.0,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,,Christopher Markus,Stephen McFeely,,730088.0,Avengers: Infinity War,4751036092014.0,511595957.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
November,2018,France,English, Universal Pictures,85.0,97000000.0,226277068.0,Yarrow Cheney,63.0,Benedict Cumberbatch,Cameron Seely,Rashida Jones,,Michael LeSieur,Tommy Swerdlow,,35815.0,Dr. Seuss' The Grinch,8841191652017.0,677471339.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
November,2014,USA,English, Paramount Pictures,169.0,15000000.0,37030102.0,Christopher Nolan,86.0,Matthew McConaughey,Anne Hathaway,Jessica Chastain,,Jonathan Nolan,Christopher Nolan,,1353732.0,Interstellar,11035485171999.0,619021436.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
March,2017,USA,English, Twentieth Century Fox,137.0,63000000.0,0.0,James Mangold,81.0,Hugh Jackman,Patrick Stewart,Dafne Keen,,James Mangold,Scott Frank,,588903.0,Logan,0.0,101187503.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
